auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.85022976,TM vs NT | loss,-2.5297231674194336,-2.1540844440460205,-2.415572166442871,0.6575,0.2729,0.5448
0.8461231749999999,T vs NT | loss,-2.5293619632720947,-2.1541597843170166,-2.4152743816375732,0.649,0.2673,0.5349
0.8567340200000001,TM vs NTM | loss,-2.542182207107544,-2.1624538898468018,-2.4279465675354004,0.6697,0.2822,0.5574
0.8306976699999999,TM vs NT | Min-K 10%,-7.742620468139648,-6.835700035095215,-7.456085205078125,0.6022,0.1963,0.4717
0.8268474,T vs NT | Min-K 10%,-7.742919445037842,-6.836195468902588,-7.456540107727051,0.5954,0.1937,0.4654
0.841351865,TM vs NTM | Min-K 10%,-7.776058197021484,-6.8616509437561035,-7.498849391937256,0.619,0.2057,0.4921
