auc,directional_mean_gap,directional_median_gap,member_invalid,member_mean,member_median,member_n,name,nonmember_invalid,nonmember_mean,nonmember_median,nonmember_n,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr,run_dir,run_name,method,mu
0.72943,0.4363986284732819,0.4519774913787842,9000,4.430633997917175,4.3647377490997314,1000,TM vs NTM | ghost log-PPL,9000,4.867032626390457,4.816715240478516,1000,4.221569538116455,3.852232217788696,4.088228225708008,0.376,0.124,0.265,results/named/random_mu1_n1000,random_mu1_n1000,random,1
0.8242706,1.1069923491716382,1.1255779266357422,0,-7.646361644792557,-7.579041481018066,10000,TM vs NTM | Min-K 10%,0,-8.753353993964195,-8.704619407653809,10000,-7.770267486572266,-6.878226280212402,-7.498289585113525,0.5876,0.197,0.4622,results/named/random_mu1_n1000,random_mu1_n1000,random,1
0.8268141,1.1147663857221604,1.1341326236724854,0,-7.606845238757134,-7.533482313156128,10000,T vs NT | Min-K 10%,0,-8.721611624479294,-8.667614936828613,10000,-7.742624759674072,-6.833219051361084,-7.459813594818115,0.5947,0.1916,0.4668,results/named/random_mu1_n1000,random_mu1_n1000,random,1
0.769247,0.2377918863296511,0.236199140548706,9000,7.452945767402649,7.438875913619995,1000,TM vs NTM | ghost log-PPL,9000,7.6907376537323,7.675075054168701,1000,7.413084506988525,7.226937294006348,7.352169036865234,0.464,0.177,0.347,results/named/learnability_mu1_n1000,learnability_mu1_n1000,learnability,1
0.825762785,1.1005135366261003,1.1118454933166504,0,-7.641812959712744,-7.577959060668945,10000,TM vs NTM | Min-K 10%,0,-8.742326496338844,-8.689804553985596,10000,-7.77022123336792,-6.881651878356934,-7.499063014984131,0.5861,0.196,0.461,results/named/learnability_mu1_n1000,learnability_mu1_n1000,learnability,1
0.826925275,1.1144426155924796,1.134244441986084,0,-7.606579144692421,-7.532588958740234,10000,T vs NT | Min-K 10%,0,-8.7210217602849,-8.666833400726318,10000,-7.739171981811523,-6.824116230010986,-7.458815097808838,0.5927,0.1903,0.4667,results/named/learnability_mu1_n1000,learnability_mu1_n1000,learnability,1
0.68890216,0.3274936911582946,0.3174089193344116,0,4.041421821570396,3.997722268104553,10000,TM vs NTM | ghost log-PPL,0,4.368915512728691,4.315131187438965,10000,3.779209613800049,3.397320508956909,3.631935119628906,0.3022,0.06,0.1869,results/named/random_mu2_n5000,random_mu2_n5000,random,2
0.83287796,0.9502033817768104,0.9668962955474854,0,-7.927395391345024,-7.880029916763306,10000,TM vs NTM | Min-K 10%,0,-8.877598773121834,-8.846926212310791,10000,-8.051041603088379,-7.469339370727539,-7.84892463684082,0.5923,0.2759,0.4812,results/named/random_mu2_n5000,random_mu2_n5000,random,2
0.8260328400000001,1.1115827458381655,1.1315627098083496,0,-7.613842240452766,-7.540628433227539,10000,T vs NT | Min-K 10%,0,-8.725424986290932,-8.672191143035889,10000,-7.741737365722656,-6.8478102684021,-7.465851783752441,0.5914,0.194,0.4661,results/named/random_mu2_n5000,random_mu2_n5000,random,2
0.7030136400000001,0.078772569990158,0.079219102859497,0,7.1992347405910495,7.197150707244873,10000,TM vs NTM | ghost log-PPL,0,7.278007310581207,7.27636981010437,10000,7.144493103027344,7.045897006988525,7.109423637390137,0.3055,0.0632,0.1935,results/named/learnability_mu2_n5000,learnability_mu2_n5000,learnability,2
