auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.8381312750000001,TM vs NT | loss,-2.5290067195892334,-2.151172161102295,-2.415001630783081,0.6338,0.2492,0.5195
0.8462796499999999,T vs NT | loss,-2.5290844440460205,-2.151190996170044,-2.4149489402770996,0.6493,0.2636,0.5343
0.84302312,TM vs NTM | loss,-2.5393574237823486,-2.151853561401367,-2.426974058151245,0.6436,0.2496,0.5318
0.823967725,TM vs NT | Min-K 10%,-7.73793363571167,-6.839212894439697,-7.461478233337402,0.5854,0.1871,0.4579
0.8270175300000001,T vs NT | Min-K 10%,-7.737981796264648,-6.839409351348877,-7.461243629455566,0.5933,0.1951,0.4688
0.831390745,TM vs NTM | Min-K 10%,-7.763028621673584,-6.871959686279297,-7.496551036834717,0.5968,0.1984,0.4744
