auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.949236625,TM vs NT | loss,-2.529348611831665,-2.1568448543548584,-2.417529344558716,0.8676,0.5401,0.7988
0.842366245,T vs NT | loss,-2.5295259952545166,-2.156891107559204,-2.4177443981170654,0.6393,0.2587,0.5295
0.977484625,TM vs NTM | loss,-2.714670181274414,-2.3867647647857666,-2.6216559410095215,0.9406,0.7733,0.9095
0.87142206,TM vs NT | Min-K 10%,-7.744307994842529,-6.851945877075195,-7.462292671203613,0.6732,0.2428,0.5429
0.822506585,T vs NT | Min-K 10%,-7.744247913360596,-6.851462364196777,-7.46227502822876,0.5839,0.1886,0.4551
0.9727655199999999,TM vs NTM | Min-K 10%,-8.636713981628418,-8.021449089050293,-8.419166564941406,0.9251,0.7777,0.883
