method,mu,name,auc,tpr_at_1fpr,tpr_at_5fpr,tpr_at_10fpr,member_median,nonmember_median,directional_median_gap
random,1,TM vs NTM | ghost log-PPL,0.750297,0.117,0.285,0.409,4.376014947891235,4.8632025718688965,0.4871876239776611
random,1,TM vs NTM | Min-K 10%,0.8239049100000001,0.2011,0.4622,0.5875,-7.5755743980407715,-8.707415580749512,1.1318411827087402
random,1,T vs NT | Min-K 10%,0.8268286850000001,0.1926,0.4646,0.5934,-7.534944534301758,-8.669206619262695,1.1342620849609375
high_loss,1,TM vs NTM | ghost log-PPL,0.752962,0.103,0.239,0.389,7.363341093063354,7.604668855667114,0.2413277626037597
high_loss,1,TM vs NTM | Min-K 10%,0.8260334599999999,0.1974,0.4615,0.5887,-7.581526279449463,-8.69115686416626,1.1096305847167969
high_loss,1,T vs NT | Min-K 10%,0.827048105,0.1929,0.4663,0.5924,-7.53147292137146,-8.667541980743408,1.1360690593719482
optimized,1,TM vs NTM | ghost log-PPL,0.779403,0.147,0.304,0.456,7.412511110305786,7.685455322265625,0.2729442119598388
optimized,1,TM vs NTM | Min-K 10%,0.8260322150000001,0.1969,0.4637,0.5866,-7.580645322799683,-8.691711902618408,1.1110665798187256
optimized,1,T vs NT | Min-K 10%,0.827050855,0.1939,0.4686,0.593,-7.533344745635986,-8.668284893035889,1.1349401473999023
