method,mu,name,auc,tpr_at_1fpr,tpr_at_5fpr,tpr_at_10fpr,member_median,nonmember_median,directional_median_gap
random,1,TM vs NTM | ghost log-PPL,0.810832,0.296,0.416,0.54,4.5076987743377686,5.11760687828064,0.6099081039428711
random,1,TM vs NTM | Min-K 10%,0.8266818000000001,0.1909,0.4723,0.5981,-7.533774137496948,-8.679381847381592,1.1456077098846436
random,1,T vs NT | Min-K 10%,0.82710784,0.1918,0.4683,0.5939,-7.532832860946655,-8.66740608215332,1.134573221206665
optimized,1,TM vs NTM | ghost log-PPL,0.8659680000000001,0.324,0.492,0.616,7.87361216545105,8.302324295043945,0.4287121295928955
optimized,1,TM vs NTM | Min-K 10%,0.8263717450000001,0.1889,0.4687,0.5945,-7.537423849105835,-8.679903984069824,1.1424801349639893
optimized,1,T vs NT | Min-K 10%,0.826962545,0.1921,0.466,0.594,-7.532247304916382,-8.66818904876709,1.135941743850708
