auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.85339883,TM vs NT | loss,-2.5290305614471436,-2.152200222015381,-2.4168264865875244,0.6659,0.2847,0.5567
0.84613353,T vs NT | loss,-2.529014825820923,-2.1521518230438232,-2.416930913925171,0.6484,0.2647,0.5366
0.86053358,TM vs NTM | loss,-2.542893886566162,-2.1643102169036865,-2.4292969703674316,0.6796,0.2954,0.5683
0.83187815,TM vs NT | Min-K 10%,-7.7412614822387695,-6.833237648010254,-7.452889442443848,0.6065,0.1981,0.4746
0.8267554799999999,T vs NT | Min-K 10%,-7.7415618896484375,-6.833164691925049,-7.453029632568359,0.594,0.191,0.4629
0.8436549,TM vs NTM | Min-K 10%,-7.772307872772217,-6.862015247344971,-7.497401714324951,0.6204,0.2092,0.4946
