auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.8379508950000001,TM vs NT | loss,-2.528576612472534,-2.152019739151001,-2.4161040782928467,0.6324,0.2487,0.5201
0.846169825,T vs NT | loss,-2.5287208557128906,-2.151827812194824,-2.4160447120666504,0.6487,0.2646,0.5348
0.84261783,TM vs NTM | loss,-2.5385282039642334,-2.15729022026062,-2.425261974334717,0.6433,0.2536,0.5276
0.81791459,TM vs NT | Min-K 10%,-7.73917818069458,-6.83391809463501,-7.455105304718018,0.576,0.183,0.4463
0.826901085,T vs NT | Min-K 10%,-7.739143371582031,-6.833621501922607,-7.455224990844727,0.5936,0.1922,0.4652
0.8245532899999999,TM vs NTM | Min-K 10%,-7.765251636505127,-6.881486892700195,-7.492393970489502,0.5877,0.1989,0.4636
