method,mu,name,auc,tpr_at_1fpr,tpr_at_5fpr,tpr_at_10fpr,member_median,nonmember_median,directional_median_gap
random,1,TM vs NTM | ghost log-PPL,,0.0,0.0,0.0,4.174531698226929,,
random,1,TM vs NTM | Min-K 10%,0.7509358049999999,0.0502,0.2508,0.3923,-7.939479827880859,-8.670913696289062,0.7314338684082031
random,1,T vs NT | Min-K 10%,0.82574718,0.1969,0.4649,0.5898,-7.540369510650635,-8.670913696289062,1.1305441856384275
learnability,1,TM vs NTM | ghost log-PPL,0.60994707,0.0307,0.1106,0.1916,7.237748622894287,7.268162250518799,0.0304136276245117
learnability,1,TM vs NTM | Min-K 10%,0.829505095,0.2439,0.4474,0.5813,-7.8379364013671875,-8.660387992858887,0.8224515914916992
learnability,1,T vs NT | Min-K 10%,0.8265044000000001,0.1915,0.4672,0.5908,-7.536298274993896,-8.671542644500732,1.135244369506836
