auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.8005726,TM vs NT | loss,-2.5294594764709473,-2.1573565006256104,-2.4176669120788574,0.5248,0.153,0.4065
0.84546869,T vs NT | loss,-2.5294649600982666,-2.1574132442474365,-2.417755126953125,0.6467,0.2657,0.5355
0.8347440150000001,TM vs NTM | loss,-2.6137373447418213,-2.285122871398926,-2.5182297229766846,0.616,0.2661,0.5135
0.7531891349999998,TM vs NT | Min-K 10%,-7.741522789001465,-6.851958751678467,-7.460375785827637,0.3938,0.054,0.2534
0.8259252199999999,T vs NT | Min-K 10%,-7.741410255432129,-6.852479934692383,-7.460394859313965,0.5908,0.1967,0.463
0.8132797150000001,TM vs NTM | Min-K 10%,-8.040834426879883,-7.421594142913818,-7.829914569854736,0.5561,0.2349,0.4449
