auc,directional_mean_gap,directional_median_gap,member_invalid,member_mean,member_median,member_n,name,nonmember_invalid,nonmember_mean,nonmember_median,nonmember_n,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr,run_dir,run_name,method,mu
0.72943,0.4363986284732819,0.4519774913787842,9000,4.430633997917175,4.3647377490997314,1000,TM vs NTM | ghost log-PPL,9000,4.867032626390457,4.816715240478516,1000,4.221569538116455,3.852232217788696,4.088228225708008,0.376,0.124,0.265,results/named/random_mu1_n1000,random_mu1_n1000,random,1
0.8242706,1.1069923491716382,1.1255779266357422,0,-7.646361644792557,-7.579041481018066,10000,TM vs NTM | Min-K 10%,0,-8.753353993964195,-8.704619407653809,10000,-7.770267486572266,-6.878226280212402,-7.498289585113525,0.5876,0.197,0.4622,results/named/random_mu1_n1000,random_mu1_n1000,random,1
0.8268141,1.1147663857221604,1.1341326236724854,0,-7.606845238757134,-7.533482313156128,10000,T vs NT | Min-K 10%,0,-8.721611624479294,-8.667614936828613,10000,-7.742624759674072,-6.833219051361084,-7.459813594818115,0.5947,0.1916,0.4668,results/named/random_mu1_n1000,random_mu1_n1000,random,1
0.769247,0.2377918863296511,0.236199140548706,9000,7.452945767402649,7.438875913619995,1000,TM vs NTM | ghost log-PPL,9000,7.6907376537323,7.675075054168701,1000,7.413084506988525,7.226937294006348,7.352169036865234,0.464,0.177,0.347,results/named/learnability_mu1_n1000,learnability_mu1_n1000,learnability,1
0.825762785,1.1005135366261003,1.1118454933166504,0,-7.641812959712744,-7.577959060668945,10000,TM vs NTM | Min-K 10%,0,-8.742326496338844,-8.689804553985596,10000,-7.77022123336792,-6.881651878356934,-7.499063014984131,0.5861,0.196,0.461,results/named/learnability_mu1_n1000,learnability_mu1_n1000,learnability,1
0.826925275,1.1144426155924796,1.134244441986084,0,-7.606579144692421,-7.532588958740234,10000,T vs NT | Min-K 10%,0,-8.7210217602849,-8.666833400726318,10000,-7.739171981811523,-6.824116230010986,-7.458815097808838,0.5927,0.1903,0.4667,results/named/learnability_mu1_n1000,learnability_mu1_n1000,learnability,1
