auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.952432095,TM vs NT | loss,-2.5304148197174072,-2.152909994125366,-2.4155080318450928,0.8777,0.5543,0.8088
0.8447745799999999,T vs NT | loss,-2.5305471420288086,-2.152888774871826,-2.4154837131500244,0.6477,0.2586,0.5305
0.9818458700000001,TM vs NTM | loss,-2.748753309249878,-2.41341233253479,-2.6497480869293213,0.9546,0.8076,0.9256
0.878891845,TM vs NT | Min-K 10%,-7.741291046142578,-6.832494735717773,-7.471126556396484,0.6908,0.247,0.5697
0.825134485,T vs NT | Min-K 10%,-7.74126672744751,-6.83262825012207,-7.471028804779053,0.5883,0.1843,0.4647
0.982141225,TM vs NTM | Min-K 10%,-8.801623344421387,-8.151932716369629,-8.587395668029785,0.952,0.831,0.9226
