auc,name,threshold_at_10fpr,threshold_at_1fpr,threshold_at_5fpr,tpr_at_10fpr,tpr_at_1fpr,tpr_at_5fpr
0.9179746200000001,TM vs NT | loss,-2.5305838584899902,-2.1530792713165283,-2.418363571166992,0.7868,0.3781,0.6894
0.8422292050000001,T vs NT | loss,-2.5309414863586426,-2.153014898300171,-2.418205499649048,0.6415,0.2618,0.5314
0.9530360499999999,TM vs NTM | loss,-2.6744203567504883,-2.3425209522247314,-2.575768232345581,0.8767,0.6056,0.8213
0.856987565,TM vs NT | Min-K 10%,-7.742148399353027,-6.8565778732299805,-7.460274696350098,0.6332,0.2052,0.4995
0.822656075,T vs NT | Min-K 10%,-7.7425079345703125,-6.856915473937988,-7.460248947143555,0.5847,0.197,0.4574
0.94947695,TM vs NTM | Min-K 10%,-8.411113739013672,-7.75570821762085,-8.18517780303955,0.866,0.6397,0.8064
